usgs,site_no,date,tidal_high,tidal_high_qc,tidal_low,tidal_low_qc,precipitation_inches,precip_qual_code
USGS,0204300267,2016-04-19,0.00,A,-1.24,A,-1.85,A
USGS,0204300267,2016-04-20,0.00,A,-0.87,A,-1.34,A
USGS,0204300267,2016-04-21,0.00,A,-0.17,A,-0.87,A
USGS,0204300267,2016-04-22,0.43,A,0.56,A,-0.20,A
USGS,0204300267,2016-04-23,0.17,A,0.59,A,0.18,A
USGS,0204300267,2016-04-24,0.00,A,0.22,A,-0.28,A
USGS,0204300267,2016-04-25,0.00,A,0.30,A,-0.30,A
USGS,0204300267,2016-04-26,0.00,A,0.91,A,0.25,A
USGS,0204300267,2016-04-27,0.21,A,1.11,A,0.79,A
USGS,0204300267,2016-04-28,0.66,A,0.84,A,0.46,A
USGS,0204300267,2016-04-29,0.00,A,0.51,A,0.02,A
USGS,0204300267,2016-04-30,0.00,A,0.02,A,-0.36,A
USGS,0204300267,2016-05-01,0.09,A,0.06,A,-0.33,A
USGS,0204300267,2016-05-02,0.02,A,0.67,A,0.06,A
USGS,0204300267,2016-05-03,0.42,A,1.05,A,0.67,A
USGS,0204300267,2016-05-04,0.02,A,1.07,A,0.63,A
USGS,0204300267,2016-05-05,0.09,A,0.63,A,-0.31,A
USGS,0204300267,2016-05-06,0.46,A,0.10,A,-0.30,A
USGS,0204300267,2016-05-07,0.01,A,0.74,A,0.10,A
USGS,0204300267,2016-05-08,0.00,A,1.02,A,0.74,A
USGS,0204300267,2016-05-09,0.00,A,0.98,A,0.83,A
USGS,0204300267,2016-05-10,0.03,A,0.87,A,0.67,A
USGS,0204300267,2016-05-11,0.00,A,0.76,A,0.65,A
USGS,0204300267,2016-05-12,0.00,A,0.70,A,0.51,A
USGS,0204300267,2016-05-13,0.01,A,0.78,A,0.54,A
USGS,0204300267,2016-05-14,0.00,A,0.88,A,0.75,A
USGS,0204300267,2016-05-15,0.00,A,0.82,A,0.46,A
USGS,0204300267,2016-05-16,0.00,A,0.54,A,0.36,A
USGS,0204300267,2016-05-17,0.25,A,0.71,A,0.48,A
USGS,0204300267,2016-05-18,0.02,A,0.62,A,-0.01,A
USGS,0204300267,2016-05-19,0.00,A,-0.01,A,-0.40,A
USGS,0204300267,2016-05-20,0.00,A,-0.40,A,-0.54,A
USGS,0204300267,2016-05-21,0.67,A,-0.18,A,-0.51,A
USGS,0204300267,2016-05-22,0.00,A,-0.18,A,-0.38,A
USGS,0204300267,2016-05-23,0.21,A,-0.32,A,-0.72,A
USGS,0204300267,2016-05-24,0.00,A,-0.16,A,-0.58,A
USGS,0204300267,2016-05-25,0.00,A,0.40,A,-0.16,A
USGS,0204300267,2016-05-26,0.00,A,0.79,A,0.40,A
USGS,0204300267,2016-05-27,0.00,A,0.91,A,0.78,A
USGS,0204300267,2016-05-28,0.00,A,0.88,A,0.50,A
USGS,0204300267,2016-05-29,0.45,A,0.57,A,0.36,A
USGS,0204300267,2016-05-30,1.24,A,0.87,A,0.56,A
USGS,0204300267,2016-05-31,0.00,A,0.84,A,0.48,A
USGS,0204300267,2016-06-01,0.00,A,0.48,A,0.28,A
USGS,0204300267,2016-06-02,0.00,A,0.38,A,0.03,A
USGS,0204300267,2016-06-03,0.00,A,0.24,A,-0.01,A
USGS,0204300267,2016-06-04,0.00,A,0.83,A,0.24,A
USGS,0204300267,2016-06-05,0.17,A,1.12,A,0.64,A
USGS,0204300267,2016-06-06,0.12,A,1.42,A,1.04,A
USGS,0204300267,2016-06-07,0.40,A,1.59,A,1.27,A
USGS,0204300267,2016-06-08,0.01,A,1.29,A,0.80,A
USGS,0204300267,2016-06-09,0.00,A,0.83,A,0.62,A
USGS,0204300267,2016-06-10,0.00,A,0.77,A,0.59,A
USGS,0204300267,2016-06-11,0.00,A,0.96,A,0.68,A
USGS,0204300267,2016-06-12,0.12,A,1.12,A,0.96,A
USGS,0204300267,2016-06-13,0.00,A,1.00,A,0.54,A
USGS,0204300267,2016-06-14,,,,,,
USGS,0204300267,2016-06-15,0.01,A,0.77,A,0.59,A
USGS,0204300267,2016-06-16,0.02,A,0.90,A,0.77,A
USGS,0204300267,2016-06-17,0.70,A,0.90,A,0.31,A
USGS,0204300267,2016-06-18,0.00,A,0.34,A,-0.18,A
USGS,0204300267,2016-06-19,0.00,A,-0.14,A,-0.30,A
USGS,0204300267,2016-06-20,0.00,A,0.23,A,-0.15,A
USGS,0204300267,2016-06-21,0.00,A,0.87,A,0.23,A
USGS,0204300267,2016-06-22,0.00,A,1.20,A,0.84,A
USGS,0204300267,2016-06-23,,,1.24,A,1.05,A
USGS,0204300267,2016-06-24,,,1.10,A,0.86,A
USGS,0204300267,2016-06-25,,,0.86,A,0.32,A
USGS,0204300267,2016-06-26,,,0.32,A,-0.08,A
USGS,0204300267,2016-06-27,,,0.23,A,-0.12,A
USGS,0204300267,2016-06-28,,,0.62,A,0.21,A
USGS,0204300267,2016-06-29,,,0.64,A,0.50,A
USGS,0204300267,2016-06-30,,,0.69,A,0.50,A
USGS,0204300267,2016-07-01,,,1.09,A,0.63,A
USGS,0204300267,2016-07-02,,,1.11,A,0.95,A
USGS,0204300267,2016-07-03,,,0.96,A,0.56,A
USGS,0204300267,2016-07-04,,,0.59,A,0.47,A
USGS,0204300267,2016-07-05,,,0.91,A,0.59,A
USGS,0204300267,2016-07-06,,,0.96,A,0.86,A
USGS,0204300267,2016-07-07,,,0.88,A,0.79,A
USGS,0204300267,2016-07-08,,,0.90,A,0.74,A
USGS,0204300267,2016-07-09,,,0.78,A,0.58,A
USGS,0204300267,2016-07-10,,,0.62,A,0.40,A
USGS,0204300267,2016-07-11,,,0.52,A,0.42,A
USGS,0204300267,2016-07-12,,,0.70,A,0.51,A
USGS,0204300267,2016-07-13,,,0.87,A,0.70,A
USGS,0204300267,2016-07-14,,,0.81,A,0.73,A
USGS,0204300267,2016-07-15,,,1.09,A,0.78,A
USGS,0204300267,2016-07-16,,,1.12,A,0.97,A
USGS,0204300267,2016-07-17,,,1.01,A,0.77,A
USGS,0204300267,2016-07-18,,,0.79,A,0.66,A
USGS,0204300267,2016-07-19,,,0.76,A,0.62,A
USGS,0204300267,2016-07-20,,,0.74,A,0.33,A
USGS,0204300267,2016-07-21,,,0.33,A,0.14,A
USGS,0204300267,2016-07-22,,,0.45,A,0.17,A
USGS,0204300267,2016-07-23,,,0.66,A,0.44,A
USGS,0204300267,2016-07-24,,,0.73,A,0.65,A
USGS,0204300267,2016-07-25,,,0.86,A,0.69,A
USGS,0204300267,2016-07-26,,,0.93,A,0.81,A
USGS,0204300267,2016-07-27,,,0.81,A,0.58,A
USGS,0204300267,2016-07-28,,,0.67,A,0.52,A
USGS,0204300267,2016-07-29,,,0.71,A,0.60,A
USGS,0204300267,2016-07-30,,,0.67,A,0.50,A
USGS,0204300267,2016-07-31,,,1.04,A,0.53,A
USGS,0204300267,2016-08-01,,,1.04,A,0.91,A
USGS,0204300267,2016-08-02,,,1.00,A,0.87,A
USGS,0204300267,2016-08-03,,,0.91,A,0.39,A
USGS,0204300267,2016-08-04,,,0.41,A,0.13,A
USGS,0204300267,2016-08-05,,,0.44,A,0.19,A
USGS,0204300267,2016-08-06,,,0.77,A,0.44,A
USGS,0204300267,2016-08-07,,,0.89,A,0.76,A
USGS,0204300267,2016-08-08,,,0.78,A,0.51,A
USGS,0204300267,2016-08-09,,,0.58,A,0.44,A
USGS,0204300267,2016-08-10,,,0.66,A,0.57,A
USGS,0204300267,2016-08-11,,,0.73,A,0.60,A
USGS,0204300267,2016-08-12,,,0.74,A,0.65,A
USGS,0204300267,2016-08-13,,,0.80,A,0.73,A
USGS,0204300267,2016-08-14,,,0.77,A,0.66,A
USGS,0204300267,2016-08-15,,,0.67,A,0.46,A
USGS,0204300267,2016-08-16,,,0.52,A,0.38,A
USGS,0204300267,2016-08-17,,,0.64,A,0.43,A
USGS,0204300267,2016-08-18,,,0.70,A,0.55,A
USGS,0204300267,2016-08-19,,,0.62,A,0.38,A
USGS,0204300267,2016-08-20,,,0.44,A,0.30,A
USGS,0204300267,2016-08-21,,,0.50,A,0.33,A
USGS,0204300267,2016-08-22,,,0.47,A,0.21,A
USGS,0204300267,2016-08-23,0.00,A,0.21,A,0.05,A
USGS,0204300267,2016-08-24,0.00,A,0.05,A,-0.11,A
USGS,0204300267,2016-08-25,0.00,A,0.25,A,-0.07,A
USGS,0204300267,2016-08-26,0.00,A,0.50,A,0.25,A
USGS,0204300267,2016-08-27,0.00,A,0.52,A,0.30,A
USGS,0204300267,2016-08-28,0.00,A,0.31,A,-0.06,A
USGS,0204300267,2016-08-29,0.08,A,-0.04,A,-0.22,A
USGS,0204300267,2016-08-30,0.00,A,-0.19,A,-0.36,A
USGS,0204300267,2016-08-31,0.00,A,-0.22,A,-0.39,A
USGS,0204300267,2016-09-01,1.65,A,0.12,A,-0.24,A
USGS,0204300267,2016-09-02,0.39,A,0.23,A,0.04,A
USGS,0204300267,2016-09-03,5.11,A,0.54,A,-0.81,A
USGS,0204300267,2016-09-04,0.00,A,-0.53,A,-0.76,A
USGS,0204300267,2016-09-05,0.00,A,-0.52,A,-0.80,A
USGS,0204300267,2016-09-06,0.00,A,0.04,A,-0.52,A
USGS,0204300267,2016-09-07,0.00,A,0.69,A,0.04,A
USGS,0204300267,2016-09-08,0.12,A,1.06,A,0.69,A
USGS,0204300267,2016-09-09,0.00,A,1.30,A,1.06,A
USGS,0204300267,2016-09-10,0.00,A,1.55,A,1.29,A
USGS,0204300267,2016-09-11,0.00,A,1.55,A,1.20,A
USGS,0204300267,2016-09-12,0.00,A,1.22,A,0.84,A
USGS,0204300267,2016-09-13,0.00,A,0.84,A,0.45,A
USGS,0204300267,2016-09-14,0.00,A,0.52,A,0.39,A
USGS,0204300267,2016-09-15,0.00,A,0.59,A,0.26,A
USGS,0204300267,2016-09-16,0.00,A,0.27,A,-0.12,A
USGS,0204300267,2016-09-17,0.00,A,-0.11,A,-0.26,A
USGS,0204300267,2016-09-18,0.00,A,0.25,A,-0.19,A
USGS,0204300267,2016-09-19,0.42,A,0.74,A,0.25,A
USGS,0204300267,2016-09-20,4.96,A,1.27,A,0.74,A
USGS,0204300267,2016-09-21,6.01,A,1.80,A,1.26,A
USGS,0204300267,2016-09-22,0.09,A,1.75,A,1.45,A
USGS,0204300267,2016-09-23,0.00,A,1.46,A,1.22,A
USGS,0204300267,2016-09-24,0.00,A,1.22,A,1.02,A
USGS,0204300267,2016-09-25,0.00,A,1.03,A,0.77,A
USGS,0204300267,2016-09-26,0.00,A,0.93,A,0.76,A
USGS,0204300267,2016-09-27,0.82,A,1.23,A,0.93,A
USGS,0204300267,2016-09-28,0.00,A,1.24,A,1.11,A
USGS,0204300267,2016-09-29,0.03,A,1.14,A,0.97,A
USGS,0204300267,2016-09-30,0.00,A,1.09,A,0.95,A
USGS,0204300267,2016-10-01,0.05,A,1.44,A,1.09,A
USGS,0204300267,2016-10-02,0.16,A,1.48,A,1.35,A
USGS,0204300267,2016-10-03,0.05,A,1.36,A,1.12,A
USGS,0204300267,2016-10-04,0.00,A,1.12,A,0.50,A
USGS,0204300267,2016-10-05,0.00,A,0.50,A,-0.23,A
USGS,0204300267,2016-10-06,0.30,A,-0.22,A,-0.67,A
USGS,0204300267,2016-10-07,0.00,A,-0.36,A,-0.68,A
USGS,0204300267,2016-10-08,6.26,A,0.97,A,-0.36,A
USGS,0204300267,2016-10-09,4.34,A,1.27,A,0.05,A
USGS,0204300267,2016-10-10,0.00,A,0.09,A,-0.45,A
USGS,0204300267,2016-10-11,0.00,A,0.57,A,-0.21,A
USGS,0204300267,2016-10-12,0.00,A,1.05,A,0.57,A
USGS,0204300267,2016-10-13,0.00,A,1.36,A,1.05,A
USGS,0204300267,2016-10-14,0.00,A,1.35,A,1.06,A
USGS,0204300267,2016-10-15,0.00,A,1.08,A,1.03,A
USGS,0204300267,2016-10-16,0.00,A,1.36,A,1.06,A
USGS,0204300267,2016-10-17,0.00,A,1.65,A,1.36,A
USGS,0204300267,2016-10-18,0.00,A,1.85,A,1.65,A
USGS,0204300267,2016-10-19,0.00,A,1.91,A,1.80,A
USGS,0204300267,2016-10-20,0.00,A,1.80,A,1.62,A
USGS,0204300267,2016-10-21,0.24,A,1.62,A,1.20,A
USGS,0204300267,2016-10-22,0.01,A,1.26,A,0.83,A
