usgs,site_no,date,tidal_high,tidal_high_qc,tidal_low,tidal_low_qc,precipitation_inches,precip_qual_code
USGS,0204288721,2016-04-21,1.70,A,-1.48,A,0.00,A
USGS,0204288721,2016-04-22,1.82,A,-1.56,A,0.38,A
USGS,0204288721,2016-04-23,2.24,A,-1.37,A,0.08,A
USGS,0204288721,2016-04-24,2.06,A,-1.03,A,0.00,A
USGS,0204288721,2016-04-25,2.02,A,-1.19,A,0.01,A
USGS,0204288721,2016-04-26,1.75,A,-1.49,A,0.00,A
USGS,0204288721,2016-04-27,1.82,A,-1.16,A,0.18,A
USGS,0204288721,2016-04-28,2.20,A,-0.47,A,0.81,A
USGS,0204288721,2016-04-29,2.25,A,-0.40,A,0.01,A
USGS,0204288721,2016-04-30,2.26,A,-0.52,A,0.00,A
USGS,0204288721,2016-05-01,1.76,A,-1.17,A,0.11,A
USGS,0204288721,2016-05-02,1.97,A,-1.15,A,0.09,A
USGS,0204288721,2016-05-03,2.35,A,-1.24,A,0.32,A
USGS,0204288721,2016-05-04,2.95,A,-1.11,A,0.00,A
USGS,0204288721,2016-05-05,3.72,A,-0.50,A,0.05,A
USGS,0204288721,2016-05-06,3.48,A,-0.31,A,0.60,A
USGS,0204288721,2016-05-07,2.88,A,-0.92,A,0.02,A
USGS,0204288721,2016-05-08,2.33,A,-1.19,A,0.00,A
USGS,0204288721,2016-05-09,2.66,A,-1.37,A,0.00,A
USGS,0204288721,2016-05-10,2.24,A,-1.53,A,0.12,A
USGS,0204288721,2016-05-11,1.96,A,-1.33,A,0.04,A
USGS,0204288721,2016-05-12,1.90,A,-1.30,A,0.00,A
USGS,0204288721,2016-05-13,1.80,A,-1.13,A,0.44,A
USGS,0204288721,2016-05-14,1.68,A,-0.87,A,0.10,A
USGS,0204288721,2016-05-15,1.75,A,-0.92,A,0.00,A
USGS,0204288721,2016-05-16,1.00,A,-1.60,A,0.00,A
USGS,0204288721,2016-05-17,0.97,A,-1.67,A,0.41,A
USGS,0204288721,2016-05-18,1.52,A,-1.45,A,0.03,A
USGS,0204288721,2016-05-19,1.84,A,-1.20,A,0.00,A
USGS,0204288721,2016-05-20,1.69,A,-1.53,A,0.00,A
USGS,0204288721,2016-05-21,2.29,A,-1.58,A,0.18,A
USGS,0204288721,2016-05-22,2.28,A,-1.00,A,0.16,A
USGS,0204288721,2016-05-23,2.39,A,-0.71,A,0.92,A
USGS,0204288721,2016-05-24,2.38,A,-0.92,A,0.00,A
USGS,0204288721,2016-05-25,1.98,A,-1.29,A,0.00,A
USGS,0204288721,2016-05-26,1.75,A,-1.39,A,0.00,A
USGS,0204288721,2016-05-27,1.33,A,-1.56,A,0.00,A
USGS,0204288721,2016-05-28,1.41,A,-1.34,A,0.00,A
USGS,0204288721,2016-05-29,1.52,A,-1.38,A,0.25,A
USGS,0204288721,2016-05-30,2.95,A,-1.31,A,2.48,A
